qid,lang,alias
Q80687,he,מזכירה
Q80687,es,auxiliar administrativo
Q80687,es,secretaria
Q80687,es,asistente personal
Q80687,es,asistente administrativo
Q80687,de,Sekretärin
Q80687,de,Bürogehilfe
Q80687,de,Bürogehilfin
Q80687,de,Sekretarius
Q80687,de,Sekretariat
Q80687,de,Geheimschreiber
Q80687,id,Asisten administrasi
Q80687,vi,thư kí
Q80687,ar,سكرتاريا
Q80687,ar,السكرتاريا
Q80687,ar,سكرتاري
Q80687,ar,سكرتاريه
Q80687,ar,السكرتارية
Q80687,ar,مساعد شخصي
Q80687,sv,handsekreterare
Q80687,sv,privatsekreterare
Q80687,sv,sekreterarflicka
Q80687,pt,secretária executiva
Q80687,ru,секретарь
Q80687,ru,секретарша
Q80687,cs,tajemník
Q80687,cs,tajemnice
Q80687,cs,sekretářka
Q80687,fa,منشی‌گری
Q80687,en,personal assistant
Q80687,en,administrative assistant
Q80687,en,office assistant
Q80687,en,clerical secretary
Q80687,fr,secrétariat
Q80687,el,γραμματεία
Q80687,zh,私人助理
Q80687,zh,书记
Q80687,zh,部长
Q80687,zh,书记员
Q80687,ro,asistent personal
Q80687,th,เลขา
Q80687,hu,személyi aszisztens
Q80687,hu,titkárnő
Q80687,sl,tajnik
Q80687,sl,osebni asistent
Q80687,sl,sekretar
Q80687,sl,administratorka
Q80687,sl,tajnica
Q80687,sl,osebna asistentka
Q80687,sl,sekretarka
Q80687,nl,secretaresse
Q80687,da,privatsekretær
Q80687,lv,personīgais asistents
Q80687,lv,sekretāre
Q80687,ja,セクレタリー
Q80687,uk,секретарка
Q80687,lt,sekretorė
Q71233,pl,AvtoZAZ
Q71233,ru,ЗАЗ
Q71233,ru,Коммунар
Q71233,ru,АвтоЗАЗ
Q71233,ru,Запорожский автомобильный завод
Q71233,uk,ЗАЗ
Q71233,uk,Запорізький автомобільний завод
Q71233,uk,ПАТ «ЗАЗ»
Q71233,uk,АвтоЗАЗ
Q71233,it,Zaporozhsky Avtomobilny Zavod
Q71233,it,ZAZ
Q71233,de,Saporischschjaer Automobilbauwerk
Q71233,de,Saporischjaer Automobilbauwerk
Q71233,de,Saporoschski Awtomobilestroitelny Sawod
Q71233,de,Zaporizhia Automobile Building Plant
Q71233,de,AwtoSAS
Q71233,de,AvtoZAZ
Q71233,lt,Zaporožės automobilių gamybos įmonė
Q71233,lt,Zaporižos automobilių gamybos įmonė
Q71233,lt,Zaporižės automobilių gamykla
Q71233,sv,Zaporozhets
Q71233,nl,Zaporozhsky Avtomobilny Zavod
Q71233,hu,ZAZ
Q71233,en,"Zaporozhsky Avtomobilny Zavod ""Kommunar"""
Q71233,en,"Proizvodstvennoe Obiedinenie ""AvtoZAZ"""
Q71233,en,Zaporizhzhia Automobile building plant
Q71233,ja,ザポリージャ自動車工場
Q75178,pt,Bispo auxiliar
Q75178,ru,епископ-помощник
Q75178,ru,вспомогательный епископ
Q75178,it,Vescovi ausiliari
Q75178,it,Vescovo ausiliario
Q75178,de,Auxiliarbischof
Q75178,cs,světící biskup
Q75178,cs,auxiliář
Q75178,sv,assisterande biskop
Q75178,be,аўксіліярый
Q75178,en,bishop
Q75178,en,auxiliary bishop
Q75178,en,assistant bishop
Q75178,es,obispo
Q68887,en,Mirvaiz
Q68887,en,Mirwaiz-i-Kashmir
Q68887,en,Mirwaiz Kashmir
Q193364,pl,wikary
Q193364,fr,vicaires
Q193364,de,Domvikar
Q193364,de,Vikarin
Q193364,de,Domvikarin
Q193364,de,vikářky
Q193364,de,Dompräbendat
Q193364,sv,Kh
Q193364,sv,Sockenpräst
Q193364,sv,Kyrkoherdar
Q193364,sv,Lantpräst
Q193364,uk,Єпископ-помічник
Q193364,ja,教区副牧師
Q193364,ja,教区牧師
Q193364,ja,教皇代理
Q193364,ja,ビカー
Q193364,zh,副手
Q193364,zh,主事
Q193364,zh,教區牧師
Q193364,en,parish minister
Q193364,en,vikářky
Q193364,en,kyrkoherde
Q193364,cs,women vicars
Q193364,cs,vikářky
Q193364,cs,vikářka
Q193364,fi,Kirkkoherra
Q193364,it,vikář
Q193364,hu,vikárius
Q193364,hu,anglikán lelkész
Q193364,hu,lelkész (anglikán)
Q193364,es,delegado
Q192814,zh,哈雷戴維森
Q192814,zh,哈雷機車
Q192814,zh,Harley-Davidson
Q192814,pl,Harley Davidson
Q192814,he,הארלי דייווידסון
Q192814,he,הרלי דייווידסון
Q192814,fr,Harley Davidson
Q192814,es,Harley Davidson Motor Company
Q192814,es,Harley-Davidson Motor Company
Q192814,it,Harley Davidson
Q192814,de,Harley Davidson
Q192814,de,Harley
Q192814,id,Harley Davidson
Q192814,ja,ハーレー・ダビッドソン
Q192814,ja,ハーレー・ダヴィッドソン
Q192814,ja,ハーレーダヴィッドソン
Q192814,ja,ハーレーオーナーズグループ
Q192814,ja,ハーレーダビットソン
Q192814,ja,ハーリー＝デイヴィッドソン
Q192814,sv,Harley Davidson
Q192814,nl,Harley Davidson
Q192814,ru,Харли-Дэвидсон
Q192814,ru,Harley Davidson
Q192814,th,ฮาร์เล่ย์
Q192814,th,ฮาร์เลย์-เดวิดสัน
Q192814,th,Harley-Davidson
Q192814,th,ฮาร์ลีย์เดวิดสัน
Q192814,th,Harley Davidson
Q192814,fi,Harrikka
Q192814,fi,Harley-Davidson
Q192814,fi,Harley Davidson
Q192814,cs,Harley Davidson
Q192814,fa,هارلی دیوید سان
Q192814,fa,هارلی دیویدسون
Q192814,da,Harley-Davidson Motor Company
Q192814,en,"Harley-Davidson, Inc."
Q192814,en,H-D
Q192814,uk,Harley Davidson
Q192814,hi,हार्ले डेविडसन
Q192814,hi,हार्ले
Q192814,pt,Harley-Davidson Motor Company
Q164236,it,inviato di guerra
Q164236,it,giornalista di guerra
Q164236,it,reporter di guerra
Q164236,de,Kriegskorrespondent
Q164236,de,Kriegsberichter
Q164236,de,Frontberichterstatter
Q164236,de,Kriegsjournalist
Q164236,de,Kriegsberichterstatterin
Q164236,de,Kriegsreporterin
Q164236,de,Kriegskorrespondentin
Q164236,de,Kriegsberichterin
Q164236,de,Frontberichterstatterin
Q164236,de,Kriegsjournalistin
Q164236,de,Kriegsberichterstatter
Q164236,de,Specialcorrespondent
Q164236,fr,journaliste en temps de guerre
Q164236,fr,correspondant de guerre
Q164236,fr,correspondante de guerre
Q164236,fr,reporter de guerre
Q164236,ru,военкор
Q164236,ru,военный репортёр
Q164236,ru,военный журналист
Q164236,ru,военная корреспондентка
Q164236,ru,военная журналистка
Q164236,he,כתבת צבאית
Q164236,es,periodista de guerra
Q164236,nl,oorlogscorrespondent
Q164236,be,ваенкар
Q164236,pl,korespondent wojenny
Q164236,zh,战地记者
Q164236,lv,kara reportieris
Q164236,lv,kara žurnālists
Q164236,en,war reporter
Q164236,en,war journalist
Q164236,en,military journalist
Q164236,en,milblogger
Q164236,ar,مراسل عسكري
Q164236,ar,مراسل ميداني
Q164236,lt,karo korespondentė
Q164236,lt,karo žurnalistas
Q164236,lt,karo žurnalistė
Q164236,lt,karinis korespondentas
Q164236,hr,ratni reporter
Q165029,fr,électricienne
Q165029,fr,electricien
Q165029,fr,électriciens
Q165029,fr,électricien
Q165029,es,electricistas
Q165029,it,Installatore elettrico
Q165029,it,Installatori elettrici
Q165029,de,Elektriker
Q165029,de,Elektroinstallateurin
Q165029,de,Elektrikerin
Q165029,de,Industrieelektriker – Geräte und Systeme/Industrieelektrikerin – Geräte und Systeme
Q165029,ja,電気工事士試験
Q165029,ja,第二種電気工事士
Q165029,ja,電気技術者
Q165029,nl,electricien
Q165029,nl,electriciën
Q165029,nl,elektriciën
Q165029,nl,elektromonteur
Q165029,sv,Elinstallatör
Q165029,sv,Elmontör
Q165029,pt,electricistas
Q165029,ru,электрик
Q165029,fa,برق کار
Q165029,fa,برقکار
Q165029,be,электрык
Q165029,zh,電氣技師
Q165029,zh,電匠
Q165029,zh,电工
Q165029,cs,elektrikářka
Q165029,mt,elettriċista
Q165029,fi,sähkömies
Q165029,da,elinstallatør
Q165029,da,el-installatør
Q165029,lv,elektromontieris
Q165029,lv,elektriķi
Q164726,en,União Metalo-Mecânica
Q164726,nl,Uniao Metalo-Mecanica
Q165654,pt,Condestável de frança
Q165654,es,Condestables
Q165654,es,Condestablesa
Q165654,it,Gran connestabile
Q165654,it,Conestabile
Q165654,it,Gran Conestabile
Q165654,de,Connétable
Q165654,de,Condestable
Q165654,de,Connetable
Q165654,de,Konstabel
Q165654,da,Marineoverkonstabel
Q165654,da,Marinespecialist
Q165654,da,Konstabelelev
Q165654,da,Overkonstabel af 1. grad
Q165654,da,Flyverspecialist
Q165654,da,Flyveroverkonstabel
Q165654,da,Overkonstabel
Q165654,da,Flyverkonstabel
