qid,lang,description
Q80687,fr,métier de bureau
Q80687,en,office occupation
Q80687,es,profesión
Q80687,el,επάγγελμα
Q80687,sv,yrke
Q80687,cs,povolání
Q80687,da,beskæftigelse
Q80687,hu,foglalkozás
Q80687,de,Beruf im Bürowesen
Q80687,it,impiegato che svolge vari tipi di mansioni
Q80687,nl,beroep
Q80687,pt,profissão
Q80687,uk,офісна посада
Q80687,ko,중요한 직위에 있는 사람에 소속되어 사무를 맡는 사람
Q80687,be,офісная пасада
Q80687,ja,要職の人物に直属し、助ける職
Q80687,ar,شاغل المكتب
Q80687,ms,pekerjaan pejabat
Q80687,ru,должность
Q71233,en,Ukrainian car manufacturer
Q71233,de,Automobilhersteller
Q71233,fr,constructeur automobile ukrainien
Q71233,nl,Oekraïense autofabriek
Q71233,da,Ukrainsk bilfabrikationsvirksomhed
Q71233,hu,ukrajnai járműgyártó vállalat
Q71233,ru,украинское автостроительное предприятие
Q71233,uk,український виробник автомобілів
Q71233,ar,شركة أوكرانية
Q71233,cs,automobilka v ukrajinském Záporoží
Q71233,ro,producător auto ucrainean
Q75178,de,Bezeichnung für das Amt des Auxiliarbischofs
Q75178,es,"ayudante del obispo diócesano de alguna diócesis, sin derecho a sucesión del mismo"
Q75178,en,"position, assistant of the diocesan bishop of any diocese, without right to succession of the same"
Q75178,ar,منصب كهنوتي
Q75178,fi,"piispa, joka avustaa toista piispaa tämän tehtävissä"
Q75178,nl,functie in bisdom
Q75178,fr,fonction dans un diocèse
Q75178,it,carica ecclesiastica
Q68887,en,Religious title (position) for Islamic head preacher in Kashmir
Q193364,de,kirchliche Amtsbezeichnung
Q193364,ru,церковная должность
Q193364,fr,ecclésiastique desservant une paroisse sous l’autorité d’un curé
Q193364,es,"persona que ejerce las funciones de otra, en todo o en parte por delegación y nunca con carácter propio"
Q193364,en,type of priest
Q193364,hu,katolikus plébánia vezetője
Q193364,cs,kněžská funkce
Q193364,fi,seurakuntaa johtava pappi
Q193364,ga,cineál sagairt
Q193364,sv,arbetsledande präst för ett pastorat
Q193364,nl,"kerkelijk ambt, plaatsvervanger"
Q193364,it,"rappresentante, vice o sostituto di qualcuno"
Q193364,da,type af præst
Q193364,pl,zastępca głównego duchownego
Q193364,ar,رتبة عسكرية في الإمبراطورية البيزنطية، وتُطلق اليوم على النائب والوكيل والكاهن وراعي الكنيسة
Q193364,tr,rahip türü
Q193364,ro,tip de preot; cleric ce slujește o parohie sub autoritatea unui preot
Q192814,fr,constructeur américain de motocyclettes
Q192814,de,US-amerikanischer Motorrad-Hersteller
Q192814,en,American motorcycle manufacturer
Q192814,nl,Amerikaanse producent van motoren
Q192814,hu,amerikai motorkerékpár-gyártó cég és motorkerékpár-márka
Q192814,sv,amerikanske motorcykelfabrikat
Q192814,cs,americká firma
Q192814,pl,amerykańskie przedsiębiorstwo
Q192814,es,fabricante estadounidense de motocicletas
Q192814,sk,americký výrobca motocyklov
Q192814,hi,मोटरसाइकिल निर्माता कंपनी
Q192814,he,חברה
Q192814,tr,Amerikalı motosiklet üreticisi şirketi
Q192814,ar,شركة أمريكية
Q192814,it,casa motociclistica statunitense
Q192814,id,perusahaan asal Amerika Serikat
Q192814,ja,アメリカ合衆国のオートバイメーカー
Q192814,fa,شرکت موتور سازی
Q192814,ru,Американский производитель мотоциклов/Американдық мотоцикл өндірушісі
Q192814,zh,美國摩托車製造商
Q192814,fi,yhdysvaltalainen moottoripyörävalmistaja
Q191945,en,company
Q191945,fr,entreprise américaine fabriquant des motos électriques
Q191945,ru,компания
Q191945,it,impresa
Q191945,de,Hersteller von Elektromotorrädern
Q191945,ar,شركة
Q191945,uk,компанія
Q164236,en,journalist specializing in coverage of armed conflicts
Q164236,de,"Journalist, der aus Kriegsgebieten berichtet"
Q164236,ru,"журналист, специализирующийся на освещении вооружённых конфликтов"
Q164236,fr,journaliste qui rapporte des faits relatifs à un conflit militaire
Q164236,es,periodista que realiza cobertura de conflictos armados
Q164236,pt,jornalista que cobre histórias em primeira mão da zona de guerra
Q164236,fi,"journalisti, joka työskentelee sota-alueella"
Q164236,pl,dziennikarz specjalizujący się w relacjonowaniu konfliktów zbrojnych
Q164236,it,giornalista specializzato nella copertura mediatica di conflitti armati
Q164236,ja,戦争中に軍隊と行動を共にする記者
Q164236,tr,silahlı çatışma haberlerinde uzmanlaşmış gazeteci
Q164236,hr,novinar koji izvješćuje iz područja pogođena ratom
Q164236,nl,verslaggever van gebeurtenissen tijdens een gewapend conflict
Q164082,de,deutsche Automarke
Q164082,en,German automobile brand
Q165029,de,Ausbildungsberuf in Deutschland; Person die für Installation und Reparatur elektrischer Anlagen zuständig ist
Q165029,es,profesional que realiza instalaciones y reparaciones eléctricas
Q165029,el,"επαγγελματίας ειδικευμένος στις ηλεκτρικές εγκαταστάσεις κτιρίων, μηχανημάτων κλπ"
Q165029,cs,profese
Q165029,pl,zawód
Q165029,fr,métier
