qid,lang,label
Q80687,ko,비서
Q80687,he,מזכיר
Q80687,fr,secrétaire
Q80687,es,secretario
Q80687,ms,سetiausaha
Q80687,it,segretario
Q80687,et,Sekretär
Q80687,de,Sekretär
Q80687,id,Sekretaris
Q80687,ja,秘書
Q80687,vi,thư ký
Q80687,en,secretary
Q80687,ar,أمين السر
Q80687,sv,sekreterare
Q80687,nl,secretaris
Q80687,hi,सचिव
Q80687,pt,secretário executivo
Q80687,ru,секретарь-референт
Q80687,fi,sihteeri
Q80687,cs,sekretář
Q80687,fa,منشی
Q80687,ka,მდივანი
Q80687,lt,sekretorius
Q80687,da,sekretær
Q80687,hr,tajnik
Q80687,pl,sekretarz
Q80687,el,γραμματέας
Q80687,zh,秘书
Q80687,uk,секретар
Q80687,ro,secretar
Q80687,ta,நிறுவனத்தின் செயலாளர்
Q80687,hy,քարտուղար
Q80687,th,เลขานุการ
Q80687,be,сакратар
Q80687,hu,titkár
Q80687,sl,administrator
Q80687,tr,Sekreter
Q80687,lv,sekretārs
Q80687,ga,rúnaí
Q80687,az,katib
Q80687,bg,секретар/секретарка
Q80687,is,ritari
Q71233,pl,AwtoZAZ
Q71233,fr,ZAZ
Q71233,ru,Запорожский автомобилестроительный завод
Q71233,en,ZAZ
Q71233,fi,ZAZ
Q71233,hu,Zaporizzsjai Autógyár
Q71233,uk,Запорізький автомобілебудівний завод
Q71233,it,Zaporiz'kyj avtomobilebudivel'nyj zavod
Q71233,de,Saporisky Awtomobilebudiwny Sawod
Q71233,lt,Zaporožės automobilių gamykla
Q71233,sv,ZAZ
Q71233,nl,Zaporozjski avtomobilny zavod
Q71233,hr,ZAZ
Q71233,tr,ZAZ
Q71233,ro,ZAZ
Q71233,es,ZAZ
Q71233,ja,ザポリージャ自動車製造工場
Q71233,da,ZAZ
Q71233,zh,扎波罗热汽车制造厂
Q71233,et,Zaporižžja autotehas
Q71233,cs,ZAZ
Q71233,fa,زاز اتومبیل
Q71233,be,Запарожскі аўтамабілебудаўнічы завод
Q71233,he,"זא""ז"
Q71233,ga,ZAZ
Q75178,zh,輔理主教
Q75178,pt,bispo-auxiliar
Q75178,pl,biskup pomocniczy
Q75178,sk,Pomocný biskup
Q75178,ko,보좌 주교
Q75178,ru,ауксилиарий
Q75178,es,obispo auxiliar
Q75178,en,auxiliary bishop
Q75178,th,มุขนายกผู้ช่วย
Q75178,fi,apulaispiispa
Q75178,it,vescovo ausiliare
Q75178,sw,Askofu msaidizi
Q75178,de,Weihbischof
Q75178,ja,補佐司教
Q75178,cs,pomocný biskup
Q75178,fr,évêque auxiliaire
Q75178,be,дапаможны біскуп
Q75178,nl,hulpbisschop
Q75178,sl,pomožni škof
Q75178,fa,اسقف کمکی
Q75178,hu,segédpüspök
Q75178,tr,yardımcı piskopos
Q75178,vi,giám mục phụ tá
Q75178,id,Uskup auksilier
Q75178,uk,єпископ-помічник
Q75178,ar,أسقف مساعد
Q75178,sv,hjälpbiskop
Q75178,ro,episcop vicar
Q75178,da,auxiliærbiskop
Q75178,hr,pomoćni biskup
Q75178,mt,isqof awżiljarju
Q75178,ga,easpag cúnta
Q75178,he,בישוף עזר
Q68887,en,Mirwaiz
Q68887,zh,米爾威茲
Q193364,pl,wikariusz
Q193364,he,ויקאר
Q193364,fr,vicaire
Q193364,es,vicario
Q193364,it,vicario
Q193364,id,vikaris
Q193364,de,Vikar
Q193364,sv,kyrkoherde
Q193364,nl,vicaris
Q193364,ar,فيقار
Q193364,pt,vigário
Q193364,ru,викарий
Q193364,hy,Վիկարիոս
Q193364,en,vicar
Q193364,ro,vicar
Q193364,fi,kirkkoherra
Q193364,uk,вікарій
Q193364,sl,vikar
Q193364,cs,vikář
Q193364,bg,Викарий
Q193364,hr,vikar
Q193364,lt,vikaras
Q193364,sk,vikár
Q193364,kk,Викарий
Q193364,az,Vikar
Q193364,el,βικάριος
Q193364,fa,معاون کشیش
Q193364,lv,vikārs
Q193364,zh,代牧
Q193364,ja,司教代理
Q193364,hu,plébános
Q193364,tr,vicar
Q193364,be,вікарый
Q193364,da,vikar
Q193364,ga,biocáire
Q193364,et,vikaarpiiskop
