qid,isco08,isco88,en_label
Q80687,,,secretary
Q71233,,,ZAZ
Q75178,,,auxiliary bishop
Q68887,,,Mirwaiz
Q193364,,,vicar
Q192814,,,Harley-Davidson
Q191945,,,Zero Motorcycles
Q164236,,,war correspondent
Q164082,,,Hexe
Q165029,,7411,electrician
Q164726,,,UMM
Q165654,,,constable
Q165379,,,Danvignes
Q193391,,,diplomat
Q80866,,,marabout
Q201788,,,historian
Q247549,,,Zénith
Q247583,,,Zévaco
Q247797,,,customs officer
Q247542,,,Zénia
Q102083,,,knight
Q101539,,5111,flight attendant
Q170790,,2121,mathematician
Q253567,,,apprentice
Q252924,,7136,plumber
Q196721,,,machinist
Q196853,,,Zetgelette
Q196992,,,kit manager
Q196986,,,Zeugmacher
Q197145,,,Jiangnan vehicles
Q197541,,,Gonow
Q81965,,,General Motors
Q303310,,,Troll
Q303486,,,boatswain
Q303928,,,ab actis
Q172741,,,Subaru
Q172153,,,English Racing Automobiles
Q172465,,,Kojima Engineering
Q288728,,7141,painter and varnisher
Q288726,,,Heinis
Q288737,,,Pieper
Q288712,,,Baby Silvestre vehicles
Q288710,,,Clément-Bayard
Q288707,,,Duport vehicles
Q288724,,,Griffon vehicles
Q288729,,,Poirier vehicles
Q288740,,,Roussel (automobile)
Q288743,,,Thiriar et Van den Daele
Q289578,,,Zédel
Q81096,,,engineer
Q203044,,,Binz
Q203539,,,Zimmer
Q202888,,,Ariel Motor Company
Q202944,,,Austin-Healey
Q202969,,,Avtotor
Q203020,,,Benz & Cie.
Q203342,,,Moskvitch
Q203463,,,Combat Medic Specialist
Q207651,,,executioner
Q206783,,,civilian employee of the military
Q201948,,,sniper
Q202468,,,Abt Sportsline
Q203550,,,Alpina
Q204327,,,Oldsmobile
Q203791,,,Zimmerpolier
Q203963,,,"Bouquet, Garcin & Schivre"
Q204022,,,Bultaco
Q82723,,,geisha
Q289612,,,general contractor
Q289635,,,AC Propulsion
Q290188,,,Ansaldo
Q168722,,,Unic
Q168827,,,prophet of Islam
Q239718,,,muezzin
Q242468,,7531,tailor
Q240913,,,Associated Equipment Company
Q240910,,,Luchjenbroers
Q82955,,,politician
Q166296,,,maphrian
Q165708,,,Ram Trucks
Q167016,,,Ginetta Cars
Q167158,,,VDL Nedcar
Q259327,,,lifeguard
Q256749,,,Äskulap
Q257815,,,Spyker
Q256705,,,medical psychotherapist
Q256876,,,repentista
Q258874,,,dievdirbys
Q202648,,,referee
Q202523,,,AC Schnitzer
Q195651,,,elevator operator
Q202708,,,American Motors Corporation
Q202883,,2250,veterinarian
Q202688,,,greenskeeper
Q202819,,,Ascari Cars
Q250867,,,Catholic priest
Q249033,,,Kawasaki Motors
Q248504,,,Zürcher Patent-Motorwagen-Fabrik Rapid
Q248878,,,Zust
Q249173,,,BMW Motorrad
Q250474,,,Straker-Squire
Q250484,,,Studebaker-Garford
Q250566,,,Kancho (Zen)
Q206228,,,Otokar
Q206082,,,state-certified engineers specializing in building construction
Q171337,,,Williams Racing
Q245068,,,comedian
Q244017,,,Zwerg Autobau
Q245004,,,Zwischenmeister
Q260345,,,Boss Hoss Cycles
Q260353,,,Wigan-Barlow
Q260756,,,GAZ Group
Q261891,,,script editor
Q262381,,,Magyar Suzuki
Q262737,,,ABC Motors
Q169470,,2111,physicist
Q169387,,,Millet motorcycle
Q254651,,,navigator
Q82594,,,computer scientist
Q82467,,,Ankai
Q304296,,,ice master
Q304823,,,Abae
Q305012,,,chocolatier
Q296628,,,ARH
Q294701,,,AMC Motors Oy Finland
Q295481,,,AM General
Q296786,,,ARO-Dacia
Q297379,,,ASC Purple
Q300197,,,AV Motors
Q300805,,,Aaglander
Q302691,,,military attaché
Q252628,,,strongwoman
Q252056,,,Buckingham Engineering
Q264323,,,chamberlain
Q263800,,,International Harvester
Q263312,,,Fongri
Q264831,,,Elfin Sports Cars
Q294126,,2148,surveyor
Q292225,,,Zyle Daewoo Bus
Q292739,,,AG für Akkumulatoren- und Automobilbau
Q293615,,,ÖAF
Q290655,,,atomic spies
Q167362,,,Alexander Dennis
Q168559,,,political commissar
Q81710,,,shepherd
Q81243,,,Riga Autobus Factory
Q255130,,,alterations specialist
Q255274,,,white-collar worker
Q255994,,,drumkeeper
Q256688,,,medical director
Q256698,,,medical residency
Q266569,,,animator
Q265465,,,Santana Motor
Q265618,,,Audi Sport
Q173085,,,De Tomaso
Q173003,,,Cooper Car Company
Q208762,,,chaplain
Q211346,,2221,psychiatrist
Q209374,,,Checker Motors Corporation
Q205375,,,inventor
Q204766,,,cataphract
Q314226,,,Münch
Q314813,,,Framo
Q314137,,,Kleinschnittger
Q314302,,,Schütte-Lanz
Q314437,,,Tornax
Q315652,,,Prince primate
Q314077,,,Roman Catholic Bishop of Speyer
Q200511,,,Antoine
Q201522,,,Atlantic
Q171692,,,patriarch
Q201559,,,privateer
Q171487,,,Automobiles Gonfaronnaises Sportives
Q171506,,,Osella
Q197544,,,Jonway Automobile
Q197706,,,Zhengzhou Nissan Automobile Company
Q199271,,,Établissements Henry Précloux
Q201257,,,episcopal vicar
Q175151,,7322,printer
Q174510,,,Ariès
Q174049,,,Automobilwerk Eisenach
Q174465,,,Pope-Toledo
Q107711,,5411,firefighter
Q94094,,,Aichi
Q211390,,,samana
Q266750,,,medicine man
Q267027,,,soap maker
Q278301,,,AJS
Q278491,,,AWD
Q278212,,,AEM (1924 automobile)
Q278231,,,A.G. Engineering
Q278138,,,milk deliverer
